center,left,right,steering,throttle,brake,speed
IMG\center_2018_01_06_22_50_20_259.jpg,IMG\left_2018_01_06_22_50_20_259.jpg,IMG\right_2018_01_06_22_50_20_259.jpg,0.05521075,1,0,30.19131
IMG\center_2018_01_06_22_50_20_334.jpg,IMG\left_2018_01_06_22_50_20_334.jpg,IMG\right_2018_01_06_22_50_20_334.jpg,0,1,0,30.18964
IMG\center_2018_01_06_22_50_20_409.jpg,IMG\left_2018_01_06_22_50_20_409.jpg,IMG\right_2018_01_06_22_50_20_409.jpg,0,1,0,30.19017
IMG\center_2018_01_06_22_50_20_482.jpg,IMG\left_2018_01_06_22_50_20_482.jpg,IMG\right_2018_01_06_22_50_20_482.jpg,0.15,1,0,30.18581
IMG\center_2018_01_06_22_50_20_552.jpg,IMG\left_2018_01_06_22_50_20_552.jpg,IMG\right_2018_01_06_22_50_20_552.jpg,0.3061831,1,0,30.17012
IMG\center_2018_01_06_22_50_20_625.jpg,IMG\left_2018_01_06_22_50_20_625.jpg,IMG\right_2018_01_06_22_50_20_625.jpg,0.05797261,1,0,30.1912
IMG\center_2018_01_06_22_50_20_692.jpg,IMG\left_2018_01_06_22_50_20_692.jpg,IMG\right_2018_01_06_22_50_20_692.jpg,0.05,1,0,30.19019
IMG\center_2018_01_06_22_50_20_767.jpg,IMG\left_2018_01_06_22_50_20_767.jpg,IMG\right_2018_01_06_22_50_20_767.jpg,0.1980292,1,0,30.18489
IMG\center_2018_01_06_22_50_20_837.jpg,IMG\left_2018_01_06_22_50_20_837.jpg,IMG\right_2018_01_06_22_50_20_837.jpg,0,1,0,30.18951
IMG\center_2018_01_06_22_50_20_907.jpg,IMG\left_2018_01_06_22_50_20_907.jpg,IMG\right_2018_01_06_22_50_20_907.jpg,0.05,1,0,30.19013
IMG\center_2018_01_06_22_50_20_978.jpg,IMG\left_2018_01_06_22_50_20_978.jpg,IMG\right_2018_01_06_22_50_20_978.jpg,0.25,1,0,30.17738
IMG\center_2018_01_06_22_50_21_050.jpg,IMG\left_2018_01_06_22_50_21_050.jpg,IMG\right_2018_01_06_22_50_21_050.jpg,0.4,1,0,30.16018
IMG\center_2018_01_06_22_50_21_120.jpg,IMG\left_2018_01_06_22_50_21_120.jpg,IMG\right_2018_01_06_22_50_21_120.jpg,0.5846414,1,0,30.13787
IMG\center_2018_01_06_22_50_21_188.jpg,IMG\left_2018_01_06_22_50_21_188.jpg,IMG\right_2018_01_06_22_50_21_188.jpg,0.4051692,1,0,30.1846
IMG\center_2018_01_06_22_50_21_258.jpg,IMG\left_2018_01_06_22_50_21_258.jpg,IMG\right_2018_01_06_22_50_21_258.jpg,0.1700183,1,0,30.19524
IMG\center_2018_01_06_22_50_21_330.jpg,IMG\left_2018_01_06_22_50_21_330.jpg,IMG\right_2018_01_06_22_50_21_330.jpg,0,1,0,30.18479
IMG\center_2018_01_06_22_50_21_403.jpg,IMG\left_2018_01_06_22_50_21_403.jpg,IMG\right_2018_01_06_22_50_21_403.jpg,0,1,0,30.1863
IMG\center_2018_01_06_22_50_21_477.jpg,IMG\left_2018_01_06_22_50_21_477.jpg,IMG\right_2018_01_06_22_50_21_477.jpg,0.05,1,0,30.19094
IMG\center_2018_01_06_22_50_21_552.jpg,IMG\left_2018_01_06_22_50_21_552.jpg,IMG\right_2018_01_06_22_50_21_552.jpg,0.2,1,0,30.18202
IMG\center_2018_01_06_22_50_21_625.jpg,IMG\left_2018_01_06_22_50_21_625.jpg,IMG\right_2018_01_06_22_50_21_625.jpg,0.2478568,1,0,30.18051
IMG\center_2018_01_06_22_50_21_692.jpg,IMG\left_2018_01_06_22_50_21_692.jpg,IMG\right_2018_01_06_22_50_21_692.jpg,0.3978568,1,0,30.16477
IMG\center_2018_01_06_22_50_21_760.jpg,IMG\left_2018_01_06_22_50_21_760.jpg,IMG\right_2018_01_06_22_50_21_760.jpg,0.3629872,1,0,30.18199
IMG\center_2018_01_06_22_50_21_828.jpg,IMG\left_2018_01_06_22_50_21_828.jpg,IMG\right_2018_01_06_22_50_21_828.jpg,0.4038123,1,0,30.17982
IMG\center_2018_01_06_22_50_21_899.jpg,IMG\left_2018_01_06_22_50_21_899.jpg,IMG\right_2018_01_06_22_50_21_899.jpg,0.3542043,1,0,30.18991
IMG\center_2018_01_06_22_50_21_971.jpg,IMG\left_2018_01_06_22_50_21_971.jpg,IMG\right_2018_01_06_22_50_21_971.jpg,0.1701367,1,0,30.19487
IMG\center_2018_01_06_22_50_22_045.jpg,IMG\left_2018_01_06_22_50_22_045.jpg,IMG\right_2018_01_06_22_50_22_045.jpg,0,1,0,30.18802
IMG\center_2018_01_06_22_50_22_112.jpg,IMG\left_2018_01_06_22_50_22_112.jpg,IMG\right_2018_01_06_22_50_22_112.jpg,0,1,0,30.18989
IMG\center_2018_01_06_22_50_22_180.jpg,IMG\left_2018_01_06_22_50_22_180.jpg,IMG\right_2018_01_06_22_50_22_180.jpg,0,1,0,30.19089
IMG\center_2018_01_06_22_50_22_249.jpg,IMG\left_2018_01_06_22_50_22_249.jpg,IMG\right_2018_01_06_22_50_22_249.jpg,0.1,1,0,30.1891
IMG\center_2018_01_06_22_50_22_318.jpg,IMG\left_2018_01_06_22_50_22_318.jpg,IMG\right_2018_01_06_22_50_22_318.jpg,0.3,1,0,30.1711
IMG\center_2018_01_06_22_50_22_386.jpg,IMG\left_2018_01_06_22_50_22_386.jpg,IMG\right_2018_01_06_22_50_22_386.jpg,0.2890105,1,0,30.18038
IMG\center_2018_01_06_22_50_22_455.jpg,IMG\left_2018_01_06_22_50_22_455.jpg,IMG\right_2018_01_06_22_50_22_455.jpg,0.4390105,1,0,30.16044
IMG\center_2018_01_06_22_50_22_531.jpg,IMG\left_2018_01_06_22_50_22_531.jpg,IMG\right_2018_01_06_22_50_22_531.jpg,0.4015344,1,0,30.18097
IMG\center_2018_01_06_22_50_22_605.jpg,IMG\left_2018_01_06_22_50_22_605.jpg,IMG\right_2018_01_06_22_50_22_605.jpg,0.1428569,1,0,30.19413
IMG\center_2018_01_06_22_50_22_684.jpg,IMG\left_2018_01_06_22_50_22_684.jpg,IMG\right_2018_01_06_22_50_22_684.jpg,0,1,0,30.18715
IMG\center_2018_01_06_22_50_22_764.jpg,IMG\left_2018_01_06_22_50_22_764.jpg,IMG\right_2018_01_06_22_50_22_764.jpg,0.1,1,0,30.19085
IMG\center_2018_01_06_22_50_22_844.jpg,IMG\left_2018_01_06_22_50_22_844.jpg,IMG\right_2018_01_06_22_50_22_844.jpg,0.278754,1,0,30.17776
IMG\center_2018_01_06_22_50_22_912.jpg,IMG\left_2018_01_06_22_50_22_912.jpg,IMG\right_2018_01_06_22_50_22_912.jpg,0.1170444,1,0,30.19112
IMG\center_2018_01_06_22_50_22_981.jpg,IMG\left_2018_01_06_22_50_22_981.jpg,IMG\right_2018_01_06_22_50_22_981.jpg,0.3170444,1,0,30.17637
IMG\center_2018_01_06_22_50_23_052.jpg,IMG\left_2018_01_06_22_50_23_052.jpg,IMG\right_2018_01_06_22_50_23_052.jpg,0.3690558,1,0,30.17295
IMG\center_2018_01_06_22_50_23_131.jpg,IMG\left_2018_01_06_22_50_23_131.jpg,IMG\right_2018_01_06_22_50_23_131.jpg,0.1260227,1,0,30.19274
IMG\center_2018_01_06_22_50_23_199.jpg,IMG\left_2018_01_06_22_50_23_199.jpg,IMG\right_2018_01_06_22_50_23_199.jpg,0,1,0,30.1886
IMG\center_2018_01_06_22_50_23_268.jpg,IMG\left_2018_01_06_22_50_23_268.jpg,IMG\right_2018_01_06_22_50_23_268.jpg,0.05,1,0,30.19048
IMG\center_2018_01_06_22_50_23_343.jpg,IMG\left_2018_01_06_22_50_23_343.jpg,IMG\right_2018_01_06_22_50_23_343.jpg,0.25,1,0,30.17927
IMG\center_2018_01_06_22_50_23_416.jpg,IMG\left_2018_01_06_22_50_23_416.jpg,IMG\right_2018_01_06_22_50_23_416.jpg,0.4,1,0,30.16126
IMG\center_2018_01_06_22_50_23_488.jpg,IMG\left_2018_01_06_22_50_23_488.jpg,IMG\right_2018_01_06_22_50_23_488.jpg,0.17738,1,0,30.19198
IMG\center_2018_01_06_22_50_23_563.jpg,IMG\left_2018_01_06_22_50_23_563.jpg,IMG\right_2018_01_06_22_50_23_563.jpg,0.2867714,1,0,30.18437
IMG\center_2018_01_06_22_50_23_633.jpg,IMG\left_2018_01_06_22_50_23_633.jpg,IMG\right_2018_01_06_22_50_23_633.jpg,0.1495538,1,0,30.19208
IMG\center_2018_01_06_22_50_23_705.jpg,IMG\left_2018_01_06_22_50_23_705.jpg,IMG\right_2018_01_06_22_50_23_705.jpg,0,1,0,30.18861
IMG\center_2018_01_06_22_50_23_780.jpg,IMG\left_2018_01_06_22_50_23_780.jpg,IMG\right_2018_01_06_22_50_23_780.jpg,0,1,0,30.18979
IMG\center_2018_01_06_22_50_23_849.jpg,IMG\left_2018_01_06_22_50_23_849.jpg,IMG\right_2018_01_06_22_50_23_849.jpg,0,1,0,30.19027
IMG\center_2018_01_06_22_50_23_999.jpg,IMG\left_2018_01_06_22_50_23_999.jpg,IMG\right_2018_01_06_22_50_23_999.jpg,0,1,0,30.19032
IMG\center_2018_01_06_22_50_43_649.jpg,IMG\left_2018_01_06_22_50_43_649.jpg,IMG\right_2018_01_06_22_50_43_649.jpg,0,1,0,30.19061
IMG\center_2018_01_06_22_50_43_724.jpg,IMG\left_2018_01_06_22_50_43_724.jpg,IMG\right_2018_01_06_22_50_43_724.jpg,0,1,0,30.19026
IMG\center_2018_01_06_22_50_43_798.jpg,IMG\left_2018_01_06_22_50_43_798.jpg,IMG\right_2018_01_06_22_50_43_798.jpg,0,1,0,30.19028
IMG\center_2018_01_06_22_50_43_870.jpg,IMG\left_2018_01_06_22_50_43_870.jpg,IMG\right_2018_01_06_22_50_43_870.jpg,0.1,1,0,30.18792
IMG\center_2018_01_06_22_50_43_942.jpg,IMG\left_2018_01_06_22_50_43_942.jpg,IMG\right_2018_01_06_22_50_43_942.jpg,0.2950033,1,0,30.17014
IMG\center_2018_01_06_22_50_44_011.jpg,IMG\left_2018_01_06_22_50_44_011.jpg,IMG\right_2018_01_06_22_50_44_011.jpg,0.1130124,1,0,30.1902
IMG\center_2018_01_06_22_50_44_079.jpg,IMG\left_2018_01_06_22_50_44_079.jpg,IMG\right_2018_01_06_22_50_44_079.jpg,0,1,0,30.18976
IMG\center_2018_01_06_22_50_44_150.jpg,IMG\left_2018_01_06_22_50_44_150.jpg,IMG\right_2018_01_06_22_50_44_150.jpg,0,1,0,30.19003
IMG\center_2018_01_06_22_50_44_221.jpg,IMG\left_2018_01_06_22_50_44_221.jpg,IMG\right_2018_01_06_22_50_44_221.jpg,0.2,1,0,30.18237
IMG\center_2018_01_06_22_50_44_290.jpg,IMG\left_2018_01_06_22_50_44_290.jpg,IMG\right_2018_01_06_22_50_44_290.jpg,0.2900738,1,0,30.17359
IMG\center_2018_01_06_22_50_44_359.jpg,IMG\left_2018_01_06_22_50_44_359.jpg,IMG\right_2018_01_06_22_50_44_359.jpg,0.2836596,1,0,30.18115
IMG\center_2018_01_06_22_50_44_427.jpg,IMG\left_2018_01_06_22_50_44_427.jpg,IMG\right_2018_01_06_22_50_44_427.jpg,0.4336596,1,0,30.16241
IMG\center_2018_01_06_22_50_44_495.jpg,IMG\left_2018_01_06_22_50_44_495.jpg,IMG\right_2018_01_06_22_50_44_495.jpg,0.3572942,1,0,30.18332
IMG\center_2018_01_06_22_50_44_566.jpg,IMG\left_2018_01_06_22_50_44_566.jpg,IMG\right_2018_01_06_22_50_44_566.jpg,0.1162085,1,0,30.19272
IMG\center_2018_01_06_22_50_44_639.jpg,IMG\left_2018_01_06_22_50_44_639.jpg,IMG\right_2018_01_06_22_50_44_639.jpg,0.05,1,0,30.18968
IMG\center_2018_01_06_22_50_44_712.jpg,IMG\left_2018_01_06_22_50_44_712.jpg,IMG\right_2018_01_06_22_50_44_712.jpg,0.2,1,0,30.18611
IMG\center_2018_01_06_22_50_44_780.jpg,IMG\left_2018_01_06_22_50_44_780.jpg,IMG\right_2018_01_06_22_50_44_780.jpg,0.1822664,1,0,30.18991
IMG\center_2018_01_06_22_50_44_847.jpg,IMG\left_2018_01_06_22_50_44_847.jpg,IMG\right_2018_01_06_22_50_44_847.jpg,0.009975911,1,0,30.18987
IMG\center_2018_01_06_22_50_44_936.jpg,IMG\left_2018_01_06_22_50_44_936.jpg,IMG\right_2018_01_06_22_50_44_936.jpg,0.2099759,1,0,30.18454
IMG\center_2018_01_06_22_50_45_006.jpg,IMG\left_2018_01_06_22_50_45_006.jpg,IMG\right_2018_01_06_22_50_45_006.jpg,0.2915164,1,0,30.1808
IMG\center_2018_01_06_22_50_45_074.jpg,IMG\left_2018_01_06_22_50_45_074.jpg,IMG\right_2018_01_06_22_50_45_074.jpg,0.08397306,1,0,30.19173
IMG\center_2018_01_06_22_50_45_166.jpg,IMG\left_2018_01_06_22_50_45_166.jpg,IMG\right_2018_01_06_22_50_45_166.jpg,0,1,0,30.18971
IMG\center_2018_01_06_22_50_45_235.jpg,IMG\left_2018_01_06_22_50_45_235.jpg,IMG\right_2018_01_06_22_50_45_235.jpg,0.15,1,0,30.1875
IMG\center_2018_01_06_22_50_45_310.jpg,IMG\left_2018_01_06_22_50_45_310.jpg,IMG\right_2018_01_06_22_50_45_310.jpg,0.35,1,0,30.16846
IMG\center_2018_01_06_22_50_45_412.jpg,IMG\left_2018_01_06_22_50_45_412.jpg,IMG\right_2018_01_06_22_50_45_412.jpg,0.3091435,1,0,30.18606
IMG\center_2018_01_06_22_50_45_482.jpg,IMG\left_2018_01_06_22_50_45_482.jpg,IMG\right_2018_01_06_22_50_45_482.jpg,0.5091435,1,0,30.15854
IMG\center_2018_01_06_22_50_45_550.jpg,IMG\left_2018_01_06_22_50_45_550.jpg,IMG\right_2018_01_06_22_50_45_550.jpg,0.6591435,1,0,30.1369
IMG\center_2018_01_06_22_50_45_631.jpg,IMG\left_2018_01_06_22_50_45_631.jpg,IMG\right_2018_01_06_22_50_45_631.jpg,0.8591435,1,0,30.11081
IMG\center_2018_01_06_22_50_45_713.jpg,IMG\left_2018_01_06_22_50_45_713.jpg,IMG\right_2018_01_06_22_50_45_713.jpg,1,1,0,30.1002
IMG\center_2018_01_06_22_50_45_792.jpg,IMG\left_2018_01_06_22_50_45_792.jpg,IMG\right_2018_01_06_22_50_45_792.jpg,0.7609018,1,0,30.18019
IMG\center_2018_01_06_22_50_45_880.jpg,IMG\left_2018_01_06_22_50_45_880.jpg,IMG\right_2018_01_06_22_50_45_880.jpg,0.498899,1,0,30.20836
